Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4690534,4151078,4386290,4584996,4965613,4138229,2920244,2503981,2445877,2675448,2943809,2869509,2877322,2633646,2603262,2538163,2560238,2309301,2162171,2181946,2302759,2771434,2893170,2977764,3559470,4195068,4917140,6058091,5958200,5936536,5960032
Afghanistan,AFG,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,500000,1734921,3879984,4488214,4712735,4417651,4653193,5094283,5511740,5622982,5643989,6339095,6306301,4552153,3374575,2731166,2679132,2674234,2676675,2667118,2601690,3587327,3809763,2510294,2136039,2414460,2166139,2107510,3057655,2833116,2887114,3054699,2664423,2586132,2556483,2596259,2666294,2501447,2624265,2681267,2727556,2594774
Africa Western and Central,AFW,Refugee population by country or territory of origin,SM.POP.REFG.OR,,5000,5000,11000,35000,55000,61350,60750,108600,71050,68960,81700,83500,85500,91000,436110,627100,128000,95200,55200,264006,256266,55376,23709,188684,220804,178583,156094,140891,199380,1056416,1018249,1039785,1741076,1762691,1486476,1434430,1037381,968077,942682,825227,595030,647815,678624,618362,557930,479340,438515,465615,483889,507350,600137,641877,724625,919752,1038377,1090727,1155918,1283440,1354330,1458860
Angola,AGO,Refugee population by country or territory of origin,SM.POP.REFG.OR,150000,150000,170000,175000,200000,220000,303800,356200,381360,408190,414120,419690,421500,426550,497390,501830,499190,529830,646110,652980,449030,457060,465890,298110,357821,317392,355412,391733,407566,408692,407760,381638,300494,323822,282570,246653,249686,267687,319420,353472,433756,470616,435415,329573,228842,215811,206482,186137,171374,141006,134851,128657,19253,10274,9468,11855,8388,8292,8243,8176,8264
Albania,ALB,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,100,4860,4860,4260,4120,4290,4310,390,2300,2090,380,380,,2000,1980,1610,1681,1680,1645,1610,1576,1587,90,129,358,367,1822,3542,4355,4747,5021,5804,5784,5381,5353,6286,6801,7627,10758,10382,10474,12718,14079,15335,15007,15707,14771,13552,12569,10104,10156,10404,11060,12168,13512,15027,15536
Andorra,AND,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,,10,10,10,5,5,5,5,6,5,5,5,,,,,15
Arab World,ARB,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212489,2408680,2614889,1906568,2001744,2005023,2035525,1864272,1806064,1816901,1672624,1872875,1895880,1831003,1879604,1797671,3023523,3722659,3328078,3029124,3034191,3205248,3358921,4804187,6199852,7077036,7703238,8568735,8933134,8827555,8867495
United Arab Emirates,ARE,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,17,18,29,16,69,31,260,305,255,411,418,484,580,84,84,91,103,137,169,155,191
Argentina,ARG,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,38,38,1019,42,42,51,52,47,46,103,332,196,111,97,467,330,218,157,140,585,608,660,764,777,789,850,888,1164,1039,604,553,506,435,381,311,186,120,121,112,99,139
Armenia,ARM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,170,,,,200,200,200,4070,3500,,,,,440,420,700,333,333,733,333,333,333,528,208,300,,,,195000,200116,201837,201439,203232,203690,193147,193228,5787,7206,13244,13158,13409,13965,14913,15435,16333,18004,17553,16491,15937,11995,11839,11211,10707,10786,11040,10962,10518
American Samoa,ASM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,13,13,18,24,25,27,28,32,45,50,53,56,82,99,107,117,118
Australia,AUS,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,11,41,29,57,37,23,38,38,47,27,27,21,15,10,10,20,35
Austria,AUT,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,49,53,54,63,47,33,27,72,68,44,62,30,19,15,15,10,10,15,5,5,,,10,24,18,33
Azerbaijan,AZE,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,328005,299092,200519,236086,234949,329655,311131,284278,268755,260217,253248,250584,233678,126068,15922,16321,16945,16756,16168,15541,10808,10508,9707,10118,10893,11246,11626,101531
Burundi,BDI,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,3000,250,,,,,,129000,131895,120880,141940,152320,153550,148180,151680,169770,182950,176270,176550,182910,199810,210620,186910,190153,191441,191619,223942,184129,871376,389698,350575,428680,519116,502555,527437,568070,553987,574552,531626,485753,438695,396533,375720,281583,94221,84053,101282,73354,72636,72477,292750,408066,439320,387850,380900,373036
Belgium,BEL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,9,14,15,20,11,21,40,41,95,63,53,58,66,80,88,91,76,76,66,44,52,50,34,33
Benin,BEN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,100,,200,200,,,,,,,50,50,50,60,,,,62,72,50,42,41,45,44,47,52,228,274,299,402,207,265,315,409,438,460,451,294,330,400,479,572,659,721,666
Burkina Faso,BFA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,50,90,110,50,,,,6,61,61,69,60,64,112,100,101,124,90,970,852,575,602,373,557,719,983,1141,1262,1458,1578,1853,2147,2352,2694,11447,11733,15768
Bangladesh,BGD,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,477,613,53921,57154,56196,56958,57962,44375,4659,4470,5404,5544,5804,5563,5733,7303,7796,10236,10097,10428,10044,10045,10157,9718,10870,12155,13840,16780,21023,22766,18992
Bulgaria,BGR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,90,320,340,340,340,300,300,,,290,,329,274,257,227,183,190,160,138,898,869,1922,2733,2980,3157,4692,4157,3246,3049,3121,2652,2404,2122,2843,2565,2227,4250,3431,3306,3036,2743,2558,2322,2143,1875,1644,1264,799,716,620,566,525
Bahrain,BHR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,52,53,59,74,70,64,82,94,124,92,46,49,50,52,40,56,65,72,72,81,213,294,274,344,422,461,497,540,557,554
"Bahamas, The",BHS,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,11,12,17,184,195,208,216,216,298,378,421,501,544
Bosnia and Herzegovina,BIH,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437501,618428,776090,769753,993868,849240,640077,598193,504980,447326,406456,300012,228813,109931,199948,78267,74358,70006,62996,58572,51815,26787,21883,18763,18194,17690,16956,16556,15625
Belarus,BLR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,84,499,300,292,1505,2515,3691,6366,7817,8226,8849,9368,4961,5376,5518,5735,5916,6181,4387,4296,4117,3831,3650,3526,3425,3199
Belize,BLZ,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,5,,,11,12,,,9,6,5,18,13,18,16,21,29,35,37,42,48,58,64,68,73,78
Bermuda,BMU,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,1400,2930,1730,,1650,90,60,,,,170,100,270,,,,,,,26,729,67,28,40,177,180,177,163,187,176,177,157,215,260,280,263,371,423,455,570,589,615,616,594,594,566,530,520,502,514,580
Brazil,BRA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,2000,2000,,,,,,,,5,5,5,5,5,5,5,,,6,15,11,11,9,41,52,84,103,134,194,220,251,438,377,401,370,703,1623,1401,973,991,1040,1073,982,977,893,803,851,1038,1399,1588
Barbados,BRB,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,6,6,8,10,8,28,39,33,28,29,42,50,63,82,95,144,172,211,243,245
Brunei Darussalam,BRN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,47,,,,,,,,,,,,,,,20
Bhutan,BTN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9504,75442,85334,103270,104746,106820,108702,105690,107619,108943,110844,112524,103977,105259,106539,108069,110593,104960,89064,75062,57980,41582,31556,23633,17709,11757,7954,7100,6839,6808
